id,name,country,city,zip,address,position,state,description,phone,category,actions_serialized,store_img,stores,schedule,marker_img,show_schedule,url_key,meta_title,meta_description,meta_robots,short_description,canonical_url
1451,Adult Novelties Plus,US,Alcoa,37777,US 129 Hwy SW Hwy 115,,56,,(865) 963-8778,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1452,Adult Outlet II,US,Westbury,11590,58 State St,,43,,516-997-8427,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1453,Naughty But Nice Tanah Merah,AU,Tanah Merah,4128,31 Pintu Drive,,,,07 3806 5447,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1455,Adult Sex Toys on Sale,US,Carolina Beach,28428,212 Fayetteville Ave,,44,,910-508-6720,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1456,ADULT SHOP,US,SALEM,97301,155 LANCASTER DR. SE,,32,,503-585-8288,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1457,Adult Shop,US,Salem,97301,155 Lancaster Drive SE,,49,,541-298-1874,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1458,ADULT SHOP,US,CORVALLIS,97330,2315 N.W. 9TH ST,,49,,541-754-7039,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1459,ADULT SHOP,US,SALEM,97301,2410 MISSION SE,,32,,503-763-3556,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1460,Adult Shop,US,Salem,97302,2410 Mission Street SE,,49,,541-298-1874,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1462,Adult Shop,US,Medford,97501,261 Barnett Road,,49,,541-298-1874,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1463,ADULT SHOP,US,KEIZER,97303,3113 RIVER ROAD N,,49,,9-7303,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1464,ADULT SHOP,US,ALBANY,97321,3404 SPICER DR,,43,,541-812-2522,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1466,Adult Shop,US,"The Dalles ",97058,3506 w 6th street,,49,,541-298-1874,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1467,Adult Shop,US,Cedar Rapids,52404,630 66th Ave,,25,,319-362-4939,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1468,ADULT SHOP,US,EUGENE,541-345-2873,"720 GARFIELD ",,49,,541-345-2873,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1469,Adult Shop,US,Rice Hill,97462,726 John Long Road,,49,,541-298-1874,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1470,ADULT SHOP,US,EUGENE,97405,86784 FRANKLIN BLVD,,49,,541-636-3203,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1471,ADULT SHOP,US,EUGENE,97402,"90 HOLEMAN ALLEY ",,49,,541-688-5411,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1472,adult super stores,AU,Rockdale,2216,"2 Geeves Ave ",,,,(6129) 599-6909,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1473,Adult Superstore,US,Yuma,85365-3707,3125 South Avenue 3 East,,12,,928-344-1799,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1474,Adult Time,US,"Edgewood ",62426,1488 N. 750th St,,23,,618 238 4932,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1475,Adult Total X,US,Dayton,45459,960 State Route 725,,47,,937-439-4530,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1476,Adult Toy,US,Youngstown,44507,1410 Market St,,47,,330-743-2051,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1477,adult toys and lingerie,US,Richmond,23230,6021 W. Broad St.,,61,,(804) 440-8228,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1478,Adult Toys Kc,US,wellsville,66092,313 w 4th,,26,,(913) 215-0190,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1479,adult video gallery,US,amarillo,79107,316 n. osage,,57,,806-342-0484,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1480,Adult World- Blarisville,US,Blairville,15717,175 US 22,,51,,814-696-4485,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1481,Adult World- Collegeville,US,Collegeville,19426,3975 Ridge Pike,,51,,610-489-1967,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1482,Adult World- Harrisburg,US,Harrisburg,17109,3932 Jonestown Road,,51,,717-652-6980,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1483,Adult World- Schenectedy,US,Schenectady,12303,1100 Altamont Ave,,43,,518-374-8952,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1484,Adult World- Syracuse,US,Syracuse,13224,2870 Erie Blvd East,,43,,315-446-2613,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1485,Adult World-Randolph,US,Randolph,14772,31 New Jersey 10,,41,,973-366-1102,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1486,Adult World-Yorkville,US,Yorkville,13495,626 Oriskany Blvd,,43,,315-768-3431,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1487,Adultmart,US,Brook Park,44135,16700  Brookpark Rd,,47,,216-267-9019,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1488,Adultmart,US,Mansfield,44903,2400 Interstate Circle,,47,,419-756-2000,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1489,Adultmart,US,Monroeville,15146,2735 Stroschein Rd,,51,,412-372-5477,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1490,Adultmart,US,Eastlake,44043,34880 Lakeland Blvd,,47,,440-951-6388,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1491,Adultmart,US,Brownhelm,44001,49150 Cooper Foster Park,,47,,440-984-2950,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1492,Adultmart,US,Gibsonburg,43431,7582 US Route 6,,47,,419-288-2131,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1493,adultshop.com Albany,AU,Albany,6330,42a Sanford Road,,,,"+61 8 9227 6777 ",,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1494,adultshop.com Bentley,AU,Bentley,6102,"Shop 4 The Bentley Centre, Albany Highway",,,,+61 8 9227 6777,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1495,adultshop.com Fremantle,AU,Fremantle,6160,99 High Street,,,,+61 8 9227 6777,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1496,adultshop.com Gosnells,AU,Gosnells,6110,"Shop 1, Gosnells Shopping Centre, 2186 Albany Hwy",,,,+61 8 9227 6777,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1497,adultshop.com Innaloo Superstore,AU,Innaloo,6018,383 Scarborough Beach Road,,,,+61 8 9227 6777,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1498,adultshop.com Kalgoorlie,AU,Kalgoorlie,6430,Shop 8 Maritana Mall,,,,+61 8 9227 6777,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1499,adultshop.com Moonah,AU,Moonah,7009,98 Main Road,,,,"+61 8 9227 6777 ",,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1500,adultshop.com Mt Lawley,AU,Mt Lawley,6050,609 Beaufort Street,,,,+61 8 9227 6777,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1501,adultshop.com Perth City,AU,Perth,6000,112 Barrack Street,,,,+61 8 9227 6777,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1502,adultshop.com Rivervale,AU,Rivervale,6103,"Shop 12 Eastgate Centre, 49-59 Great Eastern Highway",,,,+61 8 9227 6777,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
